砂之器,西北偏北,405谋杀案,三十九级台阶,,,,
追随,非常嫌疑犯,,,,,,
疾速追杀 John Wick,疾速追杀2,伸冤人,碟中谍5：神秘国度,边境杀手,安娜,,
疾速追杀3,惊天营救,伸冤人,,,,,
黑社会,放·逐,龙在边缘,,,,,
学校风云 學校風雲,黑社会,,,,,,
套装,孟买酒店,,,,,,
精英部队 Tropa de Elite,边境杀手,训练日,突袭,,,,
门徒,无间道,,,,,,
火车怪客 Strangers on a Train,三十九级台阶,夺魂索,狂凶记,西北偏北,电话谋杀案,,
大佬,疤面煞星,黑社会,,,,,
神秘河 Mystic River,非常嫌疑犯,追随,,,,,
亡命天涯 The Fugitive,生死时速,虎胆龙威,断箭,浪人,,,
辣手神探,,,,,,,
黑社会,放·逐,无间道2,,,,,
红龙 Red Dragon,汉尼拔,少年汉尼拔,沉默的羔羊,,,,
偷天陷阱 Entrapment,偷天换日,生死时速,断箭,剑鱼行动,虎胆龙威4,,
边境杀手 Sicario,疾速追杀2,老无所依,伸冤人,会计刺客,,,
达·芬奇密码,,,,,,,
美国精神病人 American Psycho,老无所依,红龙,汉尼拔,危情十日,惊魂记,天才瑞普利,
训练日,情枭的黎明,毁灭之路,疤面煞星,无间道风云,,,
边境杀手,夜行者,套装,恐袭波士顿,老无所依,目击者之追凶,,
天才瑞普利,末路狂花,,,,,,
末路狂花,罪恶之城,落水狗,,,,,
催眠大师,,,,,,,
走到尽头,,,,,,,
门徒,,,,,,,
卑劣的街头,不当交易,,,,,,
门徒,,,,,,,
杀人者的记忆法 살인자의 기억법,蒙太奇,不可饶恕,记忆之夜,追击者,目击者之追凶,那家伙的声音,邻居
卑劣的街头,,,,,,,
微不足道,,,,,,,
黑社会,龙在边缘,,,,,,
微不足道,非常嫌疑犯,,,,,,
微不足道,,,,,,,
恶魔 Les Diaboliques,恐惧的代价,第三人,M就是凶手,电话谋杀案,足迹,历劫佳人,
