,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
71,香水 Perfume: The Story of a Murderer,汤姆·提克,本·卫肖,艾伦·瑞克曼,蕾切儿·哈伍德,剧情,犯罪,奇幻,德国,德语,2006,沉默的羔羊,猫鼠游戏,七宗罪,致命ID,恐怖游轮,闪灵,杀人回忆,黑天鹅,孤儿怨,电锯惊魂
72,神探,杜琪,刘青云,安志杰,林家栋,动作,悬疑,惊悚,中国香港,国语,2007,非常嫌疑犯,杀人回忆,记忆碎片,门徒,看不见的客人,追随,一级恐惧,七宗罪,猫鼠游戏,恐怖直播
73,网络谜踪 Searching,阿尼什·查甘,约翰·赵,米切尔·拉,黛博拉·梅辛,剧情,悬疑,惊悚,美国,英语,2018,看不见的客人,利刃出鞘,记忆碎片,控方证人,禁闭岛,特工,致命魔术,海市蜃楼,杀人回忆,消失的爱人
74,蝙蝠侠：侠影之谜 Batman Begins,克里斯托弗·诺,克里斯蒂安·贝尔,迈克尔·凯恩,连姆·尼森,剧情,动作,科幻,美国,英语,2005,蝙蝠侠：黑暗骑士崛起,黑客帝国2：重装上阵,钢铁侠,变形金刚,终结者2：审判日,美国队长2,蜘蛛侠,X战警：逆转未来,复仇者联盟,扎克·施奈德版正义联盟
75,黄海 황해,罗泓,河正宇,金允石,郑满植,剧情,动作,犯罪,韩国,韩语,2010,追击者,我要复仇,特工,杀人回忆,恐怖直播,与犯罪的战争：坏家伙的全盛时代,局内人,新世界,蒙太奇,走到尽头
76,变脸 Face/Off,吴宇,约翰·特拉沃尔塔,尼古拉斯·凯奇,琼·艾伦,动作,科幻,惊悚,美国,英语,1997,勇闯夺命岛,空中监狱,谍影重重3,终结者2：审判日,飓风营救,生死时速,真实的谎言,碟中谍,黑客帝国3：矩阵革命,我，机器人
77,速度与激情5 Fast Five,林诣,范·迪塞尔,保罗·沃克,乔丹娜·布鲁斯特,动作,犯罪,unknown,美国,英语,2011,速度与激情4,碟中谍4,飓风营救,谍影重重3,蝙蝠侠：黑暗骑士崛起,王牌特工：特工学院,钢铁侠,猫鼠游戏,美国队长2,变形金刚2
78,坏孩子的天空 キッズ・リターン,北野,金子贤,安藤政信,森本治行,剧情,犯罪,运动,日本,日语,1996,那年夏天，宁静的海,一一,花火,小武,悲情城市,三峡好人,站台,蓝白红三部曲之红,薄荷糖,苏州河
79,一级恐惧 Primal Fear,格里高利·霍布里,理查·基尔,爱德华·诺顿,劳拉·琳妮,剧情,悬疑,犯罪,美国,英语,1996,非常嫌疑犯,记忆碎片,大卫·戈尔的一生,追随,洛城机密,致命ID,控方证人,七宗罪,禁闭岛,穆赫兰道
80,出租车司机 Taxi Driver,马丁·斯科塞,罗伯特·德尼罗,朱迪·福斯特,斯碧尔·谢波德,剧情,犯罪,unknown,美国,英语,1976,落水狗,末路狂花,发条橙,美国X档案,热天午后,天生杀人狂,上帝之城,八恶人,疤面煞星,搏击俱乐部
81,偷拐抢骗 Snatch,盖·里,本尼西奥·德尔·托罗,丹尼斯·法里纳,维尼·琼斯,喜剧,犯罪,unknown,英国,英语,2000,两杆大烟枪,杀手没有假期,低俗小说,疯狂的石头,绅士们,荒蛮故事,落水狗,买凶拍人,无耻混蛋,热血警探
82,风声,陈国,周迅,李冰冰,张涵予,剧情,惊悚,战争,中国大陆,国语,2009,催眠大师,禁闭岛,看不见的客人,记忆碎片,悬崖之上,致命魔术,利刃出鞘,恐怖游轮,蝴蝶效应,盗梦空间
83,速度与激情7 Furious 7,温子,范·迪塞尔,保罗·沃克,杰森·斯坦森,动作,犯罪,unknown,美国,英语,2015,速度与激情6,碟中谍5：神秘国度,湄公河行动,王牌特工：特工学院,美国队长3,蝙蝠侠：黑暗骑士崛起,猫鼠游戏,钢铁侠,疯狂的麦克斯4：狂暴之路,复仇者联盟
84,喋血双雄 喋血雙雄,吴宇,周润发,李修贤,叶倩文,剧情,动作,惊悚,中国香港,国语,1989,英雄本色2,喋血街头,辣手神探,和平饭店,精武英雄,给爸爸的信,监狱风云,枪火,龙虎风云,暗战
85,尼罗河上的惨案 Death on the Nile,约翰·吉勒,彼得·乌斯蒂诺夫,简·伯金,洛伊丝·奇利斯,剧情,悬疑,犯罪,英国,英语,1978,阳光下的罪恶,东方快车谋杀案,尼罗河上的惨案,控方证人,电话谋杀案,啤酒谋杀案,后窗,爱德华大夫,西北偏北,看不见的客人
86,杰伊·比姆 Jai Bhim,塔·塞·纳纳维,苏利耶·西瓦库马,Lijo Mol Jose,Manikandan,剧情,犯罪,unknown,印度,印地语,2021,宿敌,白虎,猫鼠游戏,一个星期四,套装,美好的世界,孟买酒店,蒙太奇,杀人回忆,特工
87,东方快车谋杀案 Murder on the Orient Express,西德尼·吕美,阿尔伯特·芬尼,劳伦·白考尔,马丁·鲍尔萨姆,剧情,悬疑,犯罪,英国,英语,1974,尼罗河上的惨案,阳光下的罪恶,控方证人,电话谋杀案,后窗,西北偏北,东方快车谋杀案,爱德华大夫,啤酒谋杀案,看不见的客人
88,小鬼当家 Home Alone,克里斯·哥伦,麦考利·卡尔金,乔·佩西,丹尼尔·斯特恩,喜剧,家庭,犯罪,美国,英语,1990,小鬼当家2,九品芝麻官,食神,唐伯虎点秋香,逃学威龙,射雕英雄传之东成西就,国产凌凌漆,鹿鼎记,变相怪杰,宝贝计划
89,骗中骗 The Sting,乔治·罗伊·希,保罗·纽曼,罗伯特·雷德福,罗伯特·肖,剧情,喜剧,犯罪,美国,英语,1973,热天午后,杀手,午夜狂奔,洛城机密,双重赔偿,热情如火,冰血暴,唐人街,虎豹小霸王,电话谋杀案
90,黑社会 黑社會,杜琪,任达华,梁家辉,古天乐,剧情,惊悚,犯罪,中国香港,国语,2005,黑社会2：以和为贵,枪火,放·逐,黑金,暗花,跛豪,古惑仔之人在江湖,机动部队,五亿探长雷洛传1：雷老虎,无间道2
91,盗火线 Heat,迈克尔·,阿尔·帕西诺,罗伯特·德尼罗,方·基默,剧情,动作,惊悚,美国,英语,1995,情枭的黎明,忠奸人,赌城风云,好家伙,疤面煞星,洛城机密,训练日,热天午后,美国黑帮,勇闯夺命岛
92,堕落天使 墮落天使,王家,黎明,李嘉欣,金城武,剧情,喜剧,爱情,中国香港,国语,1995,重庆森林,2046,花样年华,阿飞正传,苏州河,蓝莓之夜,甜蜜蜜,胭脂扣,东邪西毒：终极版,爱在黎明破晓前
