,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
50,天使爱美丽 Le fabuleux destin d'Amélie Poulain,让-皮埃尔·热,奥黛丽·塔图,马修·卡索维茨,吕菲斯,剧情,喜剧,爱情,法国,法语,2001,罗马假日,重庆森林,爱在黎明破晓前,花样年华,两小无猜,甜蜜蜜,恋恋笔记本,傲慢与偏见,泰坦尼克号,真爱至上
51,新龙门客栈 新龍門客棧,李惠,张曼玉,林青霞,梁家辉,动作,爱情,武侠,中国香港,国语,1992,笑傲江湖2：东方不败,黄飞鸿,卧虎藏龙,太极张三丰,倚天屠龙记之魔教教主,东邪西毒,方世玉,精武英雄,倩女幽魂,英雄
52,傲慢与偏见 Pride &amp; Prejudice,乔·赖,凯拉·奈特莉,马修·麦克费登,唐纳德·萨瑟兰,剧情,爱情,unknown,法国,法语,2005,罗马假日,爱在黎明破晓前,恋恋笔记本,重庆森林,泰坦尼克号,乱世佳人,花样年华,天使爱美丽,真爱至上,爱乐之城
53,淘金记 The Gold Rush,查理·卓别,查理·卓别林,马克·斯旺,汤姆·默里,喜剧,爱情,西部,美国,英语,1925,寻子遇仙记,马戏团,城市之光,大独裁者,摩登时代,福尔摩斯二世,发薪日,从军记,将军号,热情如火
54,悲惨世界 Les Misérables,汤姆·霍,休·杰克曼,罗素·克劳,安妮·海瑟薇,剧情,爱情,歌舞,英国,英语,2012,傲慢与偏见,海上钢琴师,爱乐之城,理智与情感,再次出发之纽约遇见你,歌剧魅影,爱在黎明破晓前,雾都孤儿,安娜·卡列尼娜,午夜巴黎
55,横道世之介,冲田修,高良健吾,吉高由里子,池松壮亮,剧情,爱情,unknown,日本,日语,2013,花束般的恋爱,爱在黎明破晓前,偶然与想象,那年夏天，宁静的海,重庆森林,春天情书,甜蜜蜜,爱乐之城,情书,花样年华
56,你逃我也逃 To Be or Not to Be,恩斯特·刘别,卡洛·朗白,杰克·本尼,罗伯特·斯塔克,喜剧,爱情,战争,美国,英语,1942,热情如火,福尔摩斯二世,玉女风流,将军号,我的舅舅,满城风雨,玩乐时间,寻子遇仙记,街角的商店,七次机会
57,色，戒,李,梁朝伟,汤唯,陈冲,剧情,爱情,情色,中国台湾,国语,2007,花样年华,重庆森林,罗马假日,甜蜜蜜,爱在黎明破晓前,阿飞正传,泰坦尼克号,爱乐之城,天使爱美丽,傲慢与偏见
58,东邪西毒 東邪西毒,王家,张国荣,林青霞,梁朝伟,剧情,动作,爱情,中国香港,国语,1994,重庆森林,花样年华,东邪西毒：终极版,阿飞正传,新龙门客栈,甜蜜蜜,罗马假日,胭脂扣,倩女幽魂,卧虎藏龙
59,青蛇,徐,张曼玉,王祖贤,赵文卓,剧情,爱情,奇幻,中国香港,国语,1993,倩女幽魂,甜蜜蜜,罗马假日,花样年华,胭脂扣,重庆森林,加勒比海盗,泰坦尼克号,东邪西毒,大话西游之月光宝盒
60,贫民窟的百万富翁 Slumdog Millionaire,丹尼·博伊,戴夫·帕特尔,沙鲁巴·舒克拉,亚尼·卡普,剧情,爱情,unknown,英国,英语,2008,罗马假日,阿甘正传,荒岛余生,肖申克的救赎,当幸福来敲门,国王的演讲,百万美元宝贝,三傻大闹宝莱坞,泰坦尼克号,幸福终点站
61,卡萨布兰卡 Casablanca,迈克尔·柯蒂,亨弗莱·鲍嘉,英格丽·褒曼,保罗·亨雷德,剧情,爱情,战争,美国,英语,1942,魂断蓝桥,罗马假日,乱世佳人,人鬼情未了,爱在日落黄昏时,英国病人,西雅图未眠夜,蒂凡尼的早餐,甜蜜蜜,朗读者
62,真爱至上 Love Actually,理查德·柯蒂,休·格兰特,科林·费尔斯,艾玛·汤普森,剧情,喜剧,爱情,英国,英语,2003,罗马假日,恋恋笔记本,诺丁山,爱在黎明破晓前,他其实没那么喜欢你,甜蜜蜜,天使爱美丽,傲慢与偏见,泰坦尼克号,重庆森林
63,廊桥遗梦 The Bridges of Madison County,克林特·伊斯特伍,克林特·伊斯特伍德,梅丽尔·斯特里普,安妮·科利,剧情,爱情,unknown,美国,英语,1995,罗马假日,魂断蓝桥,爱在日落黄昏时,走出非洲,人鬼情未了,英国病人,甜蜜蜜,诺丁山,花样年华,恋恋笔记本
64,恋恋笔记本 The Notebook,尼克·卡萨维,瑞恩·高斯林,瑞秋·麦克亚当斯,吉娜·罗兰兹,剧情,爱情,unknown,美国,英语,2004,罗马假日,爱在黎明破晓前,真爱至上,泰坦尼克号,傲慢与偏见,两小无猜,甜蜜蜜,一天,重庆森林,爱乐之城
65,花束般的恋爱 花束みたいな恋をした,土井裕,菅田将晖,有村架纯,细田佳央太,剧情,爱情,unknown,日本,日语,2021,爱在黎明破晓前,爱情神话,爱乐之城,恋恋笔记本,重庆森林,偶然与想象,泰坦尼克号,花样年华,情书,婚姻故事
66,燃烧女子的肖像 Portrait de la jeune fille en feu,瑟琳·席安,诺米·梅兰特,阿黛拉·哈内尔,卢安娜·巴杰拉米,剧情,爱情,同性,法国,法语,2019,打开心世界,卡罗尔,每分钟120击,菊石,面子,阿黛尔的生活,同心难改,看不见的世界,自梳,莫里斯
67,朗读者 The Reader,史蒂芬·戴德,凯特·温丝莱特,大卫·克劳斯,拉尔夫·费因斯,剧情,爱情,unknown,美国,英语,2008,罗马假日,爱在日落黄昏时,恋恋笔记本,甜蜜蜜,英国病人,重庆森林,花样年华,乱世佳人,天使爱美丽,泰坦尼克号
68,再次出发之纽约遇见你 Begin Again,约翰·卡,凯拉·奈特莉,马克·鲁弗洛,亚当·莱文,喜剧,爱情,音乐,美国,英语,2013,爱乐之城,爱在黎明破晓前,曾经,重庆森林,罗马假日,恋恋笔记本,海上钢琴师,花样年华,傲慢与偏见,一天
69,莫里斯 Maurice,詹姆斯·伊沃,詹姆斯·维尔比,休·格兰特,鲁珀特·格雷夫斯,剧情,爱情,同性,英国,英语,1987,迷情站台,每分钟120击,上帝之国,同窗之爱,单身男子,蓝宇,燃烧女子的肖像,我自己的爱达荷,烈焰焚币,迷恋荷尔蒙
70,穿越时空的少女 時をかける少女,细田,仲里依纱,石田卓也,板仓光隆,剧情,爱情,科幻,日本,日语,2006,夏日大作战,幽灵公主,天空之城,风之谷,哈尔的移动城堡,魔女宅急便,猫的报恩,千年女优,红猪,红辣椒
71,婚姻故事 Marriage Story,诺亚·鲍姆巴,斯嘉丽·约翰逊,亚当·德赖弗,劳拉·邓恩,剧情,爱情,unknown,英国,英语,2019,对不起，我们错过了你,82年生的金智英,困在时间里的父亲,阿德尔曼夫妇,花束般的恋爱,爱在日落黄昏时,饮食男女,革命之路,步履不停,爱乐之城
72,恋恋风尘 戀戀風塵,侯孝,李天禄,辛树芬,王晶文,剧情,爱情,unknown,中国台湾,国语,1986,独立时代,祖与占,海滩的一天,卡比利亚之夜,花样年华,大路,那年夏天，宁静的海,悲情城市,最好的时光,青梅竹马
73,碧海蓝天 Le grand bleu,吕克·贝,让-马克·巴尔,让·雷诺,罗姗娜·阿奎特,剧情,爱情,unknown,法国,法语,1988,两小无猜,英国病人,爱在日落黄昏时,重庆森林,罗马假日,对她说,蓝白红三部曲之蓝,芳芳,走出非洲,甜蜜蜜
74,你的名字。 君の名は。,新海,神木隆之介,上白石萌音,长泽雅美,剧情,爱情,动画,日本,日语,2016,天空之城,哈尔的移动城堡,大闹天宫,幽灵公主,风之谷,魔女宅急便,秒速5厘米,言叶之庭,神偷奶爸,千与千寻
75,初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,普特鹏·普罗萨卡·那·萨克那卡,平采娜·乐维瑟派布恩,马里奥·毛瑞尔,苏达拉·布查蓬,剧情,喜剧,爱情,泰国,泰语,2010,罗马假日,恋恋笔记本,泰坦尼克号,爱在黎明破晓前,傲慢与偏见,真爱至上,剪刀手爱德华,天使爱美丽,重庆森林,怦然心动
76,阿飞正传 阿飛正傳,王家,张国荣,张曼玉,刘嘉玲,剧情,爱情,犯罪,中国香港,国语,1990,花样年华,重庆森林,堕落天使,甜蜜蜜,2046,胭脂扣,东邪西毒,爱在黎明破晓前,春光乍泄,罗马假日
77,迷魂记 Vertigo,阿尔弗雷德·希区柯,詹姆斯·斯图尔特,金·诺瓦克,芭芭拉·贝尔·戈迪斯,爱情,悬疑,惊悚,美国,英语,1958,后窗,西北偏北,电话谋杀案,惊魂记,爱德华大夫,蝴蝶梦,夺魂索,贵妇失踪记,群鸟,三十九级台阶
78,阮玲玉,关锦,张曼玉,梁家辉,秦汉,剧情,爱情,传记,中国香港,国语,1991,南海十三郎,公民凯恩,海上花,弗里达,花样年华,一一,戏梦人生,悲情城市,宋家皇朝,社交网络
79,土拨鼠之日 Groundhog Day,哈罗德·雷米,比尔·默瑞,安迪·麦克道威尔,克里斯·艾略特,剧情,喜剧,爱情,美国,英语,1993,喜剧之王,回到未来,真爱至上,幸福终点站,暖暖内含光,爱在黎明破晓前,摩登时代,雨中曲,天使爱美丽,三傻大闹宝莱坞
80,胭脂扣,关锦,梅艳芳,张国荣,万梓良,剧情,爱情,奇幻,中国香港,国语,1987,金枝玉叶,夜半歌声,花样年华,甜蜜蜜,重庆森林,罗马假日,半生缘,阿飞正传,2046,东邪西毒：终极版
81,蓝白红三部曲之红 Trois couleurs: Rouge,克日什托夫·基耶斯洛夫斯,伊莲娜·雅各布,让-路易·特兰蒂尼昂,弗雷德里奎·费德,剧情,爱情,悬疑,法国,法语,1994,蓝白红三部曲之蓝,两生花,乡愁,永恒和一日,新桥恋人,雾中风景,春天的故事,秋天的故事,对她说,花样年华
82,家有喜事 家有囍事,高志,张国荣,周星驰,张曼玉,剧情,喜剧,爱情,中国香港,国语,1992,整蛊专家,逃学威龙,97家有喜事,食神,赌圣,鹿鼎记,审死官,国产凌凌漆,百变星君,赌侠
83,红高粱,张艺,巩俐,姜文,滕汝骏,剧情,爱情,历史,中国大陆,国语,1988,花样年华,重庆森林,甜蜜蜜,罗马假日,胭脂扣,苏州河,阿飞正传,我的父亲母亲,芙蓉镇,集结号
84,花火 HANA-BI,北野,北野武,岸本加世子,大杉涟,剧情,爱情,惊悚,日本,日语,1997,那年夏天，宁静的海,奏鸣曲,重庆森林,凶暴的男人,花样年华,堕落天使,大佬,独立时代,蓝白红三部曲之蓝,精疲力尽
85,赎罪 Atonement,乔·赖,詹姆斯·麦卡沃伊,西尔莎·罗南,凯拉·奈特莉,剧情,爱情,悬疑,英国,英语,2007,爱在黎明破晓前,面纱,罗马假日,傲慢与偏见,恋恋笔记本,诺丁山,重庆森林,花样年华,成为简·奥斯汀,一天
86,笑傲江湖2：东方不败 笑傲江湖II東方不敗,程小,李连杰,林青霞,关之琳,剧情,爱情,武侠,中国香港,国语,1992,笑傲江湖,黄飞鸿,太极张三丰,倚天屠龙记之魔教教主,东方不败之风云再起,新龙门客栈,方世玉,精武英雄,卧虎藏龙,少林寺
87,美国丽人 American Beauty,萨姆·门德,凯文·史派西,安妮特·贝宁,索拉·伯奇,剧情,爱情,家庭,美国,英语,1999,饮食男女,雨人,一次别离,东京物语,燃情岁月,步履不停,阳光小美女,婚姻故事,海边的曼彻斯特,喜宴
88,面子 Saving Face,伍思,杨雅慧,陈冲,陈凌,剧情,喜剧,爱情,美国,英语,2004,同心难改,自梳,看不见的世界,燃烧女子的肖像,打开心世界,四角关系,告诉蜜蜂,卡罗尔,被拒人生,布卢明顿
89,小城之春,费,李纬,韦伟,石羽,剧情,爱情,unknown,中国大陆,国语,1948,马路天使,卡比利亚之夜,早春二月,祖与占,大路,广岛之恋,去年在马里昂巴德,野草莓,蓝白红三部曲之蓝,精疲力尽
90,英国病人 The English Patient,安东尼·明格,拉尔夫·费因斯,朱丽叶·比诺什,威廉·达福,剧情,爱情,战争,美国,英语,1996,走出非洲,爱在日落黄昏时,罗马假日,面纱,两小无猜,诺丁山,甜蜜蜜,魂断蓝桥,重庆森林,花样年华
91,不一样的天空 What's Eating Gilbert Grape,拉斯·霍尔斯道,约翰尼·德普,莱昂纳多·迪卡普里奥,朱丽叶特·刘易斯,剧情,爱情,家庭,美国,英语,1993,大河恋,马文的房间,雨人,饮食男女,一次别离,天伦之旅,燃情岁月,阳光小美女,我是山姆,海边的曼彻斯特
