洛城机密,心理游戏,一级恐惧,,,,,,
亡命天涯 The Fugitive,空军一号,空中监狱,国家公敌,蒸发密令,,,,
美国往事,,,,,,,,
沉默的羔羊,一级恐惧,七宗罪,,,,,,
空中监狱,空军一号,国家公敌,,,,,,
七宗罪,,,,,,,,
一级恐惧,危情十日,天才瑞普利,,,,,,
忠奸人,赌城风云,情枭的黎明,好家伙,疤面煞星,盗火线,,,
美国X档案,天才瑞普利,末路狂花,一级恐惧,七宗罪,,,,
天生杀人狂,末路狂花,搏击俱乐部,,,,,,
王牌对王牌,,,,,,,,
